Z/I:A/I:An[20]/D
#E_low_hi,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,
#E_low_hi_val,,0.01,0.079,,,0.079,0.501,,,0.501,3.162,,,3.162,12.589,,,12.589,25.044,,
#Z,A,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3
2,3,4.70118E-02,-5.62648E-02,-8.18664E-03,-3.72257E-03,8.13569E-02,-9.47070E-03,1.43003E-02,0.00000E+00,7.60994E-02,-2.18748E-02,5.96375E-03,0.00000E+00,6.56964E-02,-3.96483E-03,-2.07752E-03,0.00000E+00,-1.86749E-02,6.33589E-02,-1.55377E-02,0.00000E+00
3,6,1.09741E-01,-3.50464E-02,5.30359E-03,-3.23703E-03,1.14953E-01,-1.46475E-02,2.06509E-02,0.00000E+00,1.08042E-01,-3.11068E-02,9.33583E-03,0.00000E+00,9.29782E-02,-5.26286E-03,-2.22901E-03,0.00000E+00,-4.12152E-02,1.01397E-01,-2.34690E-02,0.00000E+00
4,8,1.82459E-01,-2.68629E-03,2.33121E-02,-1.99218E-03,1.48604E-01,-2.07452E-02,2.63928E-02,0.00000E+00,1.40401E-01,-4.05090E-02,1.26585E-02,0.00000E+00,1.27258E-01,-1.48698E-02,0.00000E+00,0.00000E+00,-1.11477E-02,9.70680E-02,-2.27287E-02,0.00000E+00
5,10,2.72814E-01,4.61823E-02,4.66801E-02,0.00000E+00,1.81775E-01,-2.78077E-02,3.15073E-02,0.00000E+00,1.72856E-01,-4.97409E-02,1.58284E-02,0.00000E+00,1.55095E-01,-1.66885E-02,0.00000E+00,0.00000E+00,1.09009E-02,9.94523E-02,-2.34684E-02,0.00000E+00
6,12,2.70126E-01,1.33224E-02,4.68217E-02,0.00000E+00,2.14723E-01,-3.57744E-02,3.59920E-02,0.00000E+00,2.05079E-01,-5.72433E-02,2.13589E-02,-3.55671E-03,1.83543E-01,-1.86279E-02,0.00000E+00,0.00000E+00,3.03104E-02,1.04324E-01,-2.48204E-02,0.00000E+00
7,14,3.58861E-01,6.00120E-02,6.95398E-02,2.23095E-03,2.47389E-01,-4.47721E-02,3.97840E-02,0.00000E+00,2.37979E-01,-6.60953E-02,2.46499E-02,-4.03153E-03,2.12496E-01,-2.11865E-02,0.00000E+00,0.00000E+00,4.74082E-02,1.11304E-01,-2.66558E-02,0.00000E+00
8,16,4.02087E-01,6.54747E-02,7.99777E-02,3.38744E-03,2.79915E-01,-5.44211E-02,4.30074E-02,0.00000E+00,2.71096E-01,-7.48247E-02,2.78094E-02,-4.47842E-03,2.41885E-01,-2.37121E-02,0.00000E+00,0.00000E+00,6.41477E-02,1.18857E-01,-2.86629E-02,0.00000E+00
9,19,4.38706E-01,6.36729E-02,8.77166E-02,4.33340E-03,3.12313E-01,-6.46982E-02,4.56793E-02,0.00000E+00,3.04402E-01,-8.34820E-02,3.08324E-02,-4.89231E-03,2.71799E-01,-2.65362E-02,0.00000E+00,0.00000E+00,7.57521E-02,1.30715E-01,-3.16133E-02,0.00000E+00
10,20,4.72777E-01,5.85807E-02,9.39880E-02,5.16683E-03,3.45081E-01,-7.53200E-02,4.78788E-02,0.00000E+00,3.38272E-01,-9.20184E-02,3.37014E-02,-5.25975E-03,3.02091E-01,-2.92339E-02,0.00000E+00,0.00000E+00,9.50970E-02,1.36235E-01,-3.32438E-02,0.00000E+00
11,23,5.00067E-01,4.63439E-02,9.75522E-02,5.76437E-03,3.77518E-01,-8.63941E-02,4.90102E-02,0.00000E+00,3.72065E-01,-1.00436E-01,3.64499E-02,-5.60488E-03,3.32869E-01,-3.23480E-02,0.00000E+00,0.00000E+00,1.07641E-01,1.48370E-01,-3.63413E-02,0.00000E+00
12,24,5.23484E-01,2.93415E-02,9.90546E-02,6.17187E-03,4.10121E-01,-9.78489E-02,5.08624E-02,0.00000E+00,4.06278E-01,-1.08679E-01,3.90567E-02,-5.90321E-03,3.63838E-01,-3.52360E-02,0.00000E+00,0.00000E+00,1.27588E-01,1.54263E-01,-3.80906E-02,0.00000E+00
13,27,5.43537E-01,8.47971E-03,9.89124E-02,6.42156E-03,4.42727E-01,-1.09499E-01,5.17941E-02,0.00000E+00,4.40573E-01,-1.16892E-01,4.15338E-02,-6.17549E-03,3.95390E-01,-3.85857E-02,0.00000E+00,0.00000E+00,1.39798E-01,1.66639E-01,-4.12999E-02,0.00000E+00
14,29,5.63574E-01,-1.32296E-02,9.80037E-02,6.59502E-03,4.75618E-01,-1.21273E-01,5.23932E-02,0.00000E+00,4.75246E-01,-1.24964E-01,4.38784E-02,-6.41693E-03,4.27264E-01,-4.18805E-02,0.00000E+00,0.00000E+00,1.57496E-01,1.74981E-01,-4.36919E-02,0.00000E+00
15,31,5.81748E-01,-3.74613E-02,9.57943E-02,6.63106E-03,5.08661E-01,-1.33114E-01,5.26934E-02,0.00000E+00,5.10152E-01,-1.32919E-01,4.60793E-02,-6.61486E-03,5.11782E-01,-1.37706E-01,5.22563E-02,-9.48639E-03,1.74930E-01,1.83671E-01,-4.61650E-02,0.00000E+00
16,34,6.00359E-01,-6.17390E-02,9.30950E-02,6.60805E-03,5.41809E-01,-1.44894E-01,5.27495E-02,0.00000E+00,5.45153E-01,-1.40755E-01,4.81307E-02,-6.78231E-03,5.47188E-01,-1.46612E-01,5.54426E-02,-1.01044E-02,1.88050E-01,1.95993E-01,-4.94523E-02,0.00000E+00
17,37,6.17116E-01,-8.81178E-02,8.93444E-02,6.47164E-03,5.75033E-01,-1.56779E-01,5.25207E-02,0.00000E+00,5.80342E-01,-1.48455E-01,5.00700E-02,-6.92673E-03,5.62629E-01,-1.55137E+04,5.84142E-02,-1.06947E-02,2.01742E-01,2.08035E-01,-5.27069E-02,0.00000E+00
